"JURISDICTION","AGE_GROUP","DETECTION_METHOD","FINES"
"ACT","17-25","Police issued",8
"ACT","26-39","Police issued",8
"ACT","40-64","Police issued",12
"NSW","17-25","Police issued",55
"NSW","26-39","Police issued",54
"NSW","40-64","Police issued",43
"NSW","65 and over","Police issued",6
"NSW","17-25","Police issued",270
"NSW","26-39","Police issued",335
"NSW","40-64","Police issued",200
"NSW","65 and over","Police issued",31
"NSW","17-25","Police issued",6
"NSW","26-39","Police issued",8
"NSW","40-64","Police issued",9
"NSW","65 and over","Police issued",1
"NSW","40-64","Police issued",1
"NSW","26-39","Police issued",1
"NT","17-25","Police issued",3
"NT","26-39","Police issued",7
"NT","40-64","Police issued",8
"NT","65 and over","Police issued",3
"SA","0-16","Police issued",1
"SA","17-25","Police issued",106
"SA","26-39","Police issued",182
"SA","40-64","Police issued",117
"SA","65 and over","Police issued",20
"TAS","17-25","Police issued",27
"TAS","26-39","Police issued",63
"TAS","40-64","Police issued",28
"TAS","65 and over","Police issued",7
"VIC","0-16","Police issued",1
"VIC","17-25","Police issued",47
"VIC","26-39","Police issued",55
"VIC","40-64","Police issued",41
"VIC","65 and over","Police issued",7
"VIC","0-16","Police issued",1
"VIC","17-25","Police issued",298
"VIC","26-39","Police issued",654
"VIC","40-64","Police issued",406
"VIC","65 and over","Police issued",38
"VIC","17-25","Police issued",7
"VIC","26-39","Police issued",11
"VIC","40-64","Police issued",9
"VIC","65 and over","Police issued",3
"VIC","26-39","Police issued",2
"VIC","40-64","Police issued",1
"WA","17-25","Police issued",72
"WA","26-39","Police issued",178
"WA","40-64","Police issued",123
"WA","65 and over","Police issued",19
"ACT","17-25","Police issued",7
"ACT","26-39","Police issued",8
"ACT","40-64","Police issued",12
"ACT","65 and over","Police issued",1
"NSW","17-25","Police issued",48
"NSW","26-39","Police issued",54
"NSW","40-64","Police issued",61
"NSW","65 and over","Police issued",4
"NSW","17-25","Police issued",278
"NSW","26-39","Police issued",423
"NSW","40-64","Police issued",308
"NSW","65 and over","Police issued",28
"NSW","17-25","Police issued",4
"NSW","26-39","Police issued",13
"NSW","40-64","Police issued",10
"NSW","40-64","Police issued",1
"NT","17-25","Police issued",5
"NT","26-39","Police issued",6
"NT","40-64","Police issued",5
"SA","0-16","Police issued",0
"SA","17-25","Police issued",150
"SA","26-39","Police issued",239
"SA","40-64","Police issued",177
"SA","65 and over","Police issued",24
"TAS","0-16","Police issued",0
"TAS","17-25","Police issued",29
"TAS","26-39","Police issued",43
"TAS","40-64","Police issued",35
"TAS","65 and over","Police issued",5
"VIC","0-16","Police issued",1
"VIC","17-25","Police issued",26
"VIC","26-39","Police issued",55
"VIC","40-64","Police issued",40
"VIC","65 and over","Police issued",7
"VIC","17-25","Police issued",248
"VIC","26-39","Police issued",586
"VIC","40-64","Police issued",445
"VIC","65 and over","Police issued",59
"VIC","17-25","Police issued",2
"VIC","26-39","Police issued",12
"VIC","40-64","Police issued",8
"VIC","65 and over","Police issued",2
"VIC","26-39","Police issued",2
"VIC","40-64","Police issued",1
"WA","17-25","Police issued",69
"WA","26-39","Police issued",155
"WA","40-64","Police issued",125
"WA","65 and over","Police issued",19
"ACT","0-16","Police issued",1
"ACT","17-25","Police issued",12
"ACT","26-39","Police issued",14
"ACT","40-64","Police issued",1
"NSW","17-25","Police issued",37
